
================ DEBUG INFO ================
觀察對象: C[0][0]
公式: sum += A[0][k] * B[k][0]
--------------------------------------------
 k |  A_val (Hex) |  B_val (Hex) |     Product      |   Current Sum
5831 |       AD   |       E5   |         FFFFFB41 |            6062C
5903 |       C3   |       CB   |         FFFFF221 |            5F78E
5975 |       94   |       F7   |         FFFFFF4C |            64052
6047 |       FB   |       32   |             1806 |            66787
6119 |       DD   |       98   |         FFFFDA38 |            6960C
6191 |       EB   |       24   |              F0C |            6CDC4
6263 |       5E   |       98   |              DD0 |            66F05
6335 |       2E   |       7B   |         FFFFD89A |            73E4D
6407 |       DD   |       74   |             2A24 |            6F785
6479 |       AF   |       E1   |         FFFFFA4F |            738CD
6551 |       18   |       87   |             3128 |            66C70
6623 |       FA   |       17   |              AF6 |            74FF5
6695 |       2C   |       EB   |              6E4 |            7032E
6767 |        9   |       D7   |             130F |            70646
6839 |       F4   |        8   |              3A0 |            7D6AD
6911 |        4   |       9F   |             2EFC |            837F9
6983 |       68   |        7   |         FFFFFF58 |            8C133
7055 |       61   |       C3   |              763 |            8E599
7127 |        0   |       5A   |         FFFFD300 |            886EA
7199 |       AC   |       7C   |             1550 |            82753
7271 |       1D   |       59   |         FFFFDD95 |            83B5E
7343 |       39   |       F6   |              2C6 |            8B932
7415 |       A2   |       A2   |         FFFFF384 |            825E4
7487 |       60   |       E7   |              320 |            7DFAF
7559 |       D3   |       A2   |         FFFFE186 |            78D7C
7631 |       C7   |       19   |              6EF |            71998
7703 |       B5   |       E1   |         FFFFF995 |            5E4BE
7775 |       35   |       75   |         FFFFDDB9 |            7667E
7847 |       64   |       4C   |         FFFFF7B0 |            862C6
7919 |       54   |       31   |         FFFFF794 |            7FC84
7991 |       4D   |       8C   |             171C |            7AAAD
8063 |       8F   |       DF   |         FFFFFE11 |            85A70
8135 |       C9   |       57   |             18CF |            75FF3
--------------------------------------------
最終結果 (Hex): 7F682
============================================
